entity_name,attribute_sequence,attribute_name,pk_yn,fk_target,required_yn,unique_yn,code_group_or_domain,derived_yn,personal_info_yn,default_value
협력업체,13,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
협력업체,14,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
협력업체,15,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
인력근무경력,1,인력ID,Y,인력.인력ID,Y,N,도메인:ID,N,Y,
인력근무경력,2,인력근무경력순번,Y,,Y,N,도메인:SEQ,N,N,
인력근무경력,3,근무시작일자,N,,N,N,도메인:DATE,N,N,
인력근무경력,4,근무종료일자,N,,N,N,도메인:DATE,N,N,
인력근무경력,5,회사명,N,,N,N,도메인:LONG_NAME,N,N,
인력근무경력,6,담당업무,N,,N,N,도메인:SHORT_DESC,N,N,
인력근무경력,7,부서,N,,N,N,도메인:NAME,N,N,
인력근무경력,8,직위,N,,N,N,도메인:NAME,N,N,
인력근무경력,9,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
인력근무경력,10,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
인력근무경력,11,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
인력근무경력,12,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
인력근무경력,13,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
인력학력,1,인력ID,Y,인력.인력ID,Y,N,도메인:ID,N,Y,
인력학력,2,인력학력순번,Y,,Y,N,도메인:SEQ,N,N,
인력학력,3,학교명,N,,Y,N,도메인:LONG_NAME,N,N,
인력학력,4,학과,N,,N,N,도메인:NAME,N,N,
인력학력,5,수학시작일자,N,,N,N,도메인:DATE,N,N,
인력학력,6,수학종료일자,N,,N,N,도메인:DATE,N,N,
인력학력,7,학위,N,,N,N,도메인:NAME,N,N,
인력학력,8,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
인력학력,9,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
인력학력,10,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
인력학력,11,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
인력학력,12,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
인력교육,1,인력ID,Y,인력.인력ID,Y,N,도메인:ID,N,Y,
인력교육,2,인력교육순번,Y,,Y,N,도메인:SEQ,N,N,
인력교육,3,교육과정명,N,,Y,N,도메인:LONG_NAME,N,N,
인력교육,4,교육기관명,N,,N,N,도메인:LONG_NAME,N,N,
인력교육,5,교육시작일자,N,,N,N,도메인:DATE,N,N,
인력교육,6,교육종료일자,N,,N,N,도메인:DATE,N,N,
인력교육,7,수료번호,N,,N,N,도메인:NUMBER,N,N,
인력교육,8,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
인력교육,9,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
인력교육,10,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
인력교육,11,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
인력교육,12,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
인력상훈,1,인력ID,Y,인력.인력ID,Y,N,도메인:ID,N,Y,
인력상훈,2,인력상훈순번,Y,,Y,N,도메인:SEQ,N,N,
인력상훈,3,상훈종류,N,,N,N,도메인:NAME,N,N,
인력상훈,4,상훈기관명,N,,N,N,도메인:LONG_NAME,N,N,
인력상훈,5,수여일,N,,N,N,도메인:DATE,N,N,
인력상훈,6,근거,N,,N,N,도메인:CONTENT,N,N,
인력상훈,7,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
인력상훈,8,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
인력상훈,9,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
인력상훈,10,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
인력상훈,11,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
인력기술자격,1,인력ID,Y,인력.인력ID,Y,N,도메인:ID,N,Y,
인력기술자격,2,인력기술자격순번,Y,,Y,N,도메인:SEQ,N,N,
인력기술자격,3,종목,N,,N,N,도메인:NAME,N,N,
인력기술자격,4,등록번호,N,,N,N,도메인:NUMBER,N,N,
인력기술자격,5,취득일,N,,N,N,도메인:DATE,N,N,
인력기술자격,6,발급기관,N,,N,N,도메인:LONG_NAME,N,N,
인력기술자격,7,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
인력기술자격,8,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
인력기술자격,9,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
인력기술자격,10,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
인력기술자격,11,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
인력기술경력,1,인력ID,Y,인력.인력ID,Y,N,도메인:ID,N,Y,
인력기술경력,2,인력기술경력순번,Y,,Y,N,도메인:SEQ,N,N,
인력기술경력,3,참여사업명,N,,Y,N,도메인:LONG_NAME,N,N,
인력기술경력,4,참여시작일자,N,,N,N,도메인:DATE,N,N,
인력기술경력,5,참여종료일자,N,,N,N,도메인:DATE,N,N,
인력기술경력,6,발주사,N,,N,N,도메인:LONG_NAME,N,N,
인력기술경력,7,소속사,N,,N,N,도메인:LONG_NAME,N,N,
인력기술경력,8,직위,N,,N,N,도메인:NAME,N,N,
인력기술경력,9,담당업무,N,,N,N,도메인:SHORT_DESC,N,N,
인력기술경력,10,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
인력기술경력,11,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
인력기술경력,12,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
인력기술경력,13,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
인력기술경력,14,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
인력단가,1,인력단가ID,Y,,Y,Y,도메인:ID,N,N,
인력단가,2,인력ID,N,인력.인력ID,Y,N,도메인:ID,N,Y,
인력단가,3,기준연월,N,,Y,N,도메인:YEARMONTH,N,N,
인력단가,4,월단가,N,,N,N,도메인:UNIT_AMOUNT,N,N,
인력단가,5,일단가,N,,N,N,도메인:UNIT_AMOUNT,N,N,
인력단가,6,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
인력단가,7,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
인력단가,8,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
인력단가,9,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
인력단가,10,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
인력투입,1,투입ID,Y,,Y,Y,도메인:ID,N,N,
인력투입,2,프로젝트ID,N,프로젝트.프로젝트ID,Y,N,도메인:ID,N,N,
인력투입,3,인력ID,N,인력.인력ID,Y,N,도메인:ID,N,Y,
인력투입,4,투입시작일자,N,,Y,N,도메인:DATE,N,N,
인력투입,5,투입종료일자,N,,N,N,도메인:DATE,N,N,
인력투입,6,프로젝트역할코드,N,,N,N,코드그룹:프로젝트역할코드,N,N,
인력투입,7,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
인력투입,8,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
인력투입,9,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
인력투입,10,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
인력투입,11,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
인력월별투입실적,1,인력월별투입실적ID,Y,,Y,Y,도메인:ID,N,N,
인력월별투입실적,2,인력투입ID,N,인력투입.투입ID,Y,N,도메인:ID,N,N,
인력월별투입실적,3,기준연월,N,,Y,N,도메인:YEARMONTH,N,N,
인력월별투입실적,4,계획투입률,N,,N,N,도메인:RATE,N,N,
인력월별투입실적,5,계획투입MM,N,,N,N,도메인:MM,N,N,
인력월별투입실적,6,실적투입률,N,,N,N,도메인:RATE,N,N,
인력월별투입실적,7,실적투입MM,N,,N,N,도메인:MM,N,N,
인력월별투입실적,8,실적확정여부,N,,N,N,도메인:YN,N,N,N
인력월별투입실적,9,실적확정자ID,N,사용자.사용자ID,N,N,도메인:ID,N,Y,
인력월별투입실적,10,실적확정일시,N,,N,N,도메인:TIMESTAMP,N,N,
인력월별투입실적,11,비고내용,N,,N,N,도메인:CONTENT,N,N,
인력월별투입실적,12,등록자ID,N,,Y,N,도메인:REG_ID,N,Y,
인력월별투입실적,13,등록일시,N,,Y,N,도메인:REG_DTM,N,N,CURRENT_TIMESTAMP
인력월별투입실적,14,수정자ID,N,,N,N,도메인:MOD_ID,N,Y,
인력월별투입실적,15,수정일시,N,,N,N,도메인:MOD_DTM,N,N,
인력월별투입실적,16,삭제여부,N,,Y,N,도메인:DEL_YN,N,N,N
