constraint_name,constraint_type,table_name,column_names,reference_table,reference_columns,check_expression,on_delete,on_update,enforcement_type,create_yn,description
CK_TB_SYS_USER_03,CK,TB_SYS_USER,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_SYS_USER_04,CK,TB_SYS_USER,ACNT_STATUS_CD|INACTIVE_RSN_CD|INACTIVE_DTM,,,"(ACNT_STATUS_CD = 'ACTIVE' AND INACTIVE_RSN_CD IS NULL AND INACTIVE_DTM IS NULL) OR (ACNT_STATUS_CD = 'INACTIVE' AND INACTIVE_RSN_CD IS NOT NULL AND INACTIVE_DTM IS NOT NULL)",,,DATABASE,Y,계정상태와 비활성 원인 및 일시 일관성 검사
CK_TB_SYS_USER_05,CK,TB_SYS_USER,PWD_INIT_REQ_YN|PWD_CHG_DTM|TEMP_PWD_EXPIRE_DTM,,,"(PWD_INIT_REQ_YN = 'Y' AND TEMP_PWD_EXPIRE_DTM IS NOT NULL AND TEMP_PWD_EXPIRE_DTM > PWD_CHG_DTM) OR (PWD_INIT_REQ_YN = 'N' AND TEMP_PWD_EXPIRE_DTM IS NULL)",,,DATABASE,Y,최초 등록 필요 여부와 임시 비밀번호 만료일시 일관성 검사
CK_TB_SYS_USER_06,CK,TB_SYS_USER,LOGIN_ID,,,"LOGIN_ID = LOWER(BTRIM(LOGIN_ID))",,,DATABASE,Y,로그인ID 소문자 정규화 저장 검사
CK_TB_SYS_ROLE_02,CK,TB_SYS_ROLE,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_SYS_MENU_02,CK,TB_SYS_MENU,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_SYS_ORG_02,CK,TB_SYS_ORG,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_COM_CODE_GRP_02,CK,TB_COM_CODE_GRP,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_COM_CODE_02,CK,TB_COM_CODE,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_SYS_CONFIG_02,CK,TB_SYS_CONFIG,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_SYS_EXT_REL_CONFIG_01,CK,TB_SYS_EXT_REL_CONFIG,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_SYS_EXT_REL_CONFIG_02,CK,TB_SYS_EXT_REL_CONFIG,PAGE_INQ_CNT|MAX_CALL_CNT|CONN_TIMEOUT_SEC|RSP_TIMEOUT_SEC|MAX_RETRY_CNT,,,"(PAGE_INQ_CNT IS NULL OR PAGE_INQ_CNT > 0) AND (MAX_CALL_CNT IS NULL OR MAX_CALL_CNT > 0) AND (CONN_TIMEOUT_SEC IS NULL OR CONN_TIMEOUT_SEC > 0) AND (RSP_TIMEOUT_SEC IS NULL OR RSP_TIMEOUT_SEC > 0) AND (MAX_RETRY_CNT IS NULL OR MAX_RETRY_CNT >= 0)",,,DATABASE,Y,외부연계 호출정책 수치 범위 검사
CK_TB_SYS_API_CALL_LOG_01,CK,TB_SYS_API_CALL_LOG,RSP_CNT,,,"RSP_CNT IS NULL OR RSP_CNT >= 0",,,DATABASE,Y,응답건수 음수 방지
CK_TB_SYS_API_CALL_LOG_02,CK,TB_SYS_API_CALL_LOG,CALL_START_DTM|CALL_END_DTM,,,"CALL_END_DTM IS NULL OR CALL_START_DTM IS NULL OR CALL_END_DTM >= CALL_START_DTM",,,DATABASE,Y,API 호출 시작과 종료 일시 순서 검사
CK_TB_SYS_ACCESS_LOG_01,CK,TB_SYS_ACCESS_LOG,SUCC_YN,,,"SUCC_YN IN ('Y','N')",,,DATABASE,Y,성공여부 허용값 검사
CK_TB_SYS_ACCESS_LOG_02,CK,TB_SYS_ACCESS_LOG,SUCC_YN|FAIL_RSN_CD,,,"(SUCC_YN = 'Y' AND FAIL_RSN_CD IS NULL) OR (SUCC_YN = 'N' AND FAIL_RSN_CD IS NOT NULL)",,,DATABASE,Y,로그인 성공여부와 실패사유 일관성 검사
CK_TB_SYS_ACCESS_LOG_03,CK,TB_SYS_ACCESS_LOG,SUCC_YN|LOGOUT_DTM|LOGOUT_TYPE_CD,,,"(LOGOUT_DTM IS NULL AND LOGOUT_TYPE_CD IS NULL) OR (SUCC_YN = 'Y' AND LOGOUT_DTM IS NOT NULL AND LOGOUT_TYPE_CD IS NOT NULL)",,,DATABASE,Y,로그아웃일시와 로그아웃유형 일관성 검사
CK_TB_SYS_LOG_01,CK,TB_SYS_LOG,PROC_RESULT_CD,,,"PROC_RESULT_CD IN ('SUCCESS','FAILURE')",,,DATABASE,Y,처리결과코드 허용값 검사
CK_TB_SYS_LOG_02,CK,TB_SYS_LOG,TGT_TYPE_CD|TGT_ID,,,"(TGT_TYPE_CD IS NULL AND TGT_ID IS NULL) OR (TGT_TYPE_CD IS NOT NULL AND TGT_ID IS NOT NULL)",,,DATABASE,Y,대상유형과 대상ID 일관성 검사
CK_TB_SYS_NOTICE_01,CK,TB_SYS_NOTICE,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
