index_name,table_name,column_names,unique_yn,index_method,where_condition,description
UX_TB_SALES_ANNC_OPPTY_REL_01,TB_SALES_ANNC_OPPTY_REL,ANNC_ID,Y,,,사업공고별 영업기회 중복 전환 방지
IX_TB_SALES_ANNC_OPPTY_REL_01,TB_SALES_ANNC_OPPTY_REL,SALES_OPPTY_ID|CONVERT_DTM,N,,,영업기회별 최초 공고 및 재공고 연결 조회
IX_TB_SALES_OPPTY_01,TB_SALES_OPPTY,CUST_ID|SALES_STAGE_CD|REG_DTM,N,,DEL_YN = 'N',고객사와 영업단계별 영업기회 조회
IX_TB_SALES_OPPTY_02,TB_SALES_OPPTY,CONTACT_ID|SALES_STAGE_CD|REG_DTM,N,,DEL_YN = 'N',담당사용자와 영업단계별 영업기회 조회
IX_TB_SALES_OPPTY_03,TB_SALES_OPPTY,OPPTY_NM,N,,DEL_YN = 'N',영업기회명 검색
UX_TB_SALES_FEAS_ANALYSIS_01,TB_SALES_FEAS_ANALYSIS,SALES_OPPTY_ID,Y,,DEL_YN = 'N',영업기회별 활성 사업성분석 최대 한 건 보장
UX_TB_SALES_PRPSL_01,TB_SALES_PRPSL,ANNC_ID,Y,,,사업공고별 제안 이력 전체에서 최대 한 건 보장
IX_TB_SALES_PRPSL_01,TB_SALES_PRPSL,PRPSL_STATUS_CD|SUBMIT_DT,N,,DEL_YN = 'N',제안상태와 제출일 기준 조회
UX_TB_SALES_ORDER_RCV_01,TB_SALES_ORDER_RCV,PRPSL_ID,Y,,,제안별 수주 결과 이력 전체에서 최대 한 건 보장
IX_TB_SALES_ORDER_RCV_01,TB_SALES_ORDER_RCV,ORD_RCV_YN|ORD_RCV_DT,N,,DEL_YN = 'N',수주여부와 수주일자 기준 조회
